File Name,REGION,INST,UNDER 17,17,18,19,20,21,22,23,24,25,26-30,31-35,36-40,41-50,51-60,OVER 60,TOTAL,AVERAGE AGE,Validation Link
Inmate Characteristics Report FY 2018 Q1.pdf,MCIH,.,.,2,5,9,18,17,23,22,28,129,133,123,174,120,54,857,39.2,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8036&row=0&page=1
Inmate Characteristics Report FY 2018 Q1.pdf,MCTC,.,2,3,18,47,61,73,80,101,95,596,474,366,496,303,107,2822,36.6,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8036&row=1&page=1
Inmate Characteristics Report FY 2018 Q1.pdf,NBCI,.,.,.,1,1,4,10,20,28,17,170,226,210,293,161,47,1188,39.8,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8036&row=2&page=1
Inmate Characteristics Report FY 2018 Q1.pdf,RCI,.,.,2,10,19,24,27,55,54,53,340,275,230,327,231,87,1734,38.1,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8036&row=3&page=1
Inmate Characteristics Report FY 2018 Q1.pdf,WCI,.,.,1,4,8,8,18,35,53,61,291,266,211,338,253,106,1653,39.7,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8036&row=4&page=1
Inmate Characteristics Report FY 2018 Q1.pdf,TOTAL BCCC BCF CMCF DRCF ECI ECI-A EPRU,. . . . . . . .,2 . . . . . . .,8 2 2 1 1 3 1 .,38 6 11 3 2 14 8 .,84 3 10 2 12 29 5 2,115 145 5 8 6 12 41 7 .,9 18 12 15 54 14 2,213 14 21 12 21 62 14 3,258 11 21 10 30 72 12 2,254 21 31 18 30 113 25 5,1526 94 124 112 154 589 116 30,1374 96 109 84 142 452 97 43,1140 67 80 69 106 340 84 25,1628 80 110 98 151 504 117 37,1068 58 60 60 111 321 80 18,401 9 14 12 24 128 16 6,8254 475 619 499 811 2722 596 173,38.3 36.6 35.6 37.1 37.3 37.5 37.5 38.1,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8036&row=5&page=1
Inmate Characteristics Report FY 2018 Q1.pdf,JCI MCIJ MCIW,. . .,. . .,1 2 .,4 4 2,11 11 8,15 12 9,25 22 19,33 27 14,43 38 21,39 31 17,194 212 166,191 145 138,171 131 96,314 204 150,246 135 85,127 51 23,1414 1025 748,41.3 38.1 37.1,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8036&row=6&page=1
Inmate Characteristics Report FY 2018 Q1.pdf,MRDCC,.,2,7,9,9,17,12,19,17,14,98,82,46,67,36,7,442,33.8,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8036&row=7&page=1
Inmate Characteristics Report FY 2018 Q1.pdf,SMPRU,.,.,.,.,2,2,2,6,3,5,19,24,18,22,19,3,125,37.5,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8036&row=8&page=1
Inmate Characteristics Report FY 2018 Q1.pdf,TOTAL PATX-M,. 1,2 5,20 16,63 12,104 13,134 204 18,19,246 19,280 26,349 31,1908 159,1603 127,1233 107,1854 125,1229 73,420 20,9649 771,37.7 35.1,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8036&row=9&page=1
