File Name,REGION,INSTITUTION,MALE,FEMALE,TOTAL,Black #,Black %,White #,White %,Latinx #,Latinx %,American Indian #,American Indian %,Asian #,Asian %,Unknown #,Unknown %,TOTAL,Validation Link
Inmate Characteristics Report FY 2018 Q1.pdf,MCIH,857,.,857,515,60.1%,325,37.9%,.,.,4,.5%,13,1.5%,857,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8018&row=0&page=0
Inmate Characteristics Report FY 2018 Q1.pdf,MCTC NBCI,2822 1188,. .,2822 1188,1818 983,64.4% 82.7%,965 189,34.2% 15.9%,13 2,.5% .2%,13 4,.5% .3%,13 10,.5% .8%,2822 1188,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8018&row=1&page=0
Inmate Characteristics Report FY 2018 Q1.pdf,RCI,1734,.,1734,1236,71.3%,471,27.2%,6,.3%,7,.4%,14,.8%,1734,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8018&row=2&page=0
Inmate Characteristics Report FY 2018 Q1.pdf,WCI,1653,.,1653,1153,69.8%,478,28.9%,4,.2%,7,.4%,11,.7%,1653,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8018&row=3&page=0
Inmate Characteristics Report FY 2018 Q1.pdf,TOTAL,8254,.,8254,5705,69.1%,2428,29.4%,25,.3%,35,.4%,61,.7%,8254,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8018&row=4&page=0
Inmate Characteristics Report FY 2018 Q1.pdf,BCCC,475,.,475,416,87.6%,56,11.8%,.,.,2,.4%,1,.2%,475,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8018&row=5&page=0
Inmate Characteristics Report FY 2018 Q1.pdf,BCF,619,.,619,444,71.7%,170,27.5%,.,.,3,.5%,2,.3%,619,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8018&row=6&page=0
Inmate Characteristics Report FY 2018 Q1.pdf,CMCF,499,.,499,380,76.2%,113,22.6%,.,.,2,.4%,4,.8%,499,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8018&row=7&page=0
Inmate Characteristics Report FY 2018 Q1.pdf,DRCF,811,.,811,596,73.5%,203,25.0%,2,.2%,3,.4%,7,.9%,811,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8018&row=8&page=0
Inmate Characteristics Report FY 2018 Q1.pdf,ECI,2722,.,2722,1835,67.4%,830,30.5%,12,.4%,5,.2%,40,1.5%,2722,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8018&row=9&page=0
Inmate Characteristics Report FY 2018 Q1.pdf,ECI-A,596,.,596,406,68.1%,182,30.5%,2,.3%,3,.5%,3,.5%,596,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8018&row=10&page=0
Inmate Characteristics Report FY 2018 Q1.pdf,EPRU JCI MCIJ,173 1414 1025,. . .,173 1414 1025,97 1147 704,56.1% 81.1% 68.7%,70 254 296,40.5% 18.0% 28.9%,4 3 1,2.3% .2% .1%,1 3 1,.6% .2% .1%,1 7 23,.6% .5% 2.2%,173 1414 1025,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8018&row=11&page=0
Inmate Characteristics Report FY 2018 Q1.pdf,MCIW MRDCC,. 442,748 .,748 442,344 337,46.0% 76.2%,391 99,52.3% 22.4%,5 3,.7% .7%,4 1,.5% .2%,4 2,.5% .5%,748 442,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8018&row=12&page=0
Inmate Characteristics Report FY 2018 Q1.pdf,SMPRU,125,.,125,101,80.8%,23,18.4%,1,.8%,.,.,.,.,125,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8018&row=13&page=0
Inmate Characteristics Report FY 2018 Q1.pdf,TOTAL PATX-M,8901 771,748 .,9649 771,6807 553,70.5% 71.7%,2687 205,27.8% 26.6%,33 2,.3% .3%,28 6,.3% .8%,94 5,1.0% .6%,9649 771,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8018&row=14&page=0
Inmate Characteristics Report FY 2018 Q1.pdf,PATX-F TOTAL BCBIC BPC-M MTC TOTAL CHDU THRESH TOTAL,. 771 115 3 79 197 143 29 172,63 63 6 . . 6 8 . 8,63 834 121 3 79 203 151 29 180,27 580 98 2 63 163 109 27 136,42.9% 69.5% 81.0% 66.7% 79.7% 80.3% 72.2% 93.1% 75.6%,35 240 19 1 15 35 42 2 44,55.6% 28.8% 15.7% 33.3% 19.0% 17.2% 27.8% 6.9% 24.4%,1 3 2 . . 2 . . .,1.6% .4% 1.7% . . 1.0% . . .,. 6 . . . . . . .,. .7% . . . . . . .,. 5 2 . 1 3 . . .,. .6% 1.7% . 1.3% 1.5% . . .,63 834 121 3 79 203 151 29 180,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8018&row=15&page=0
Inmate Characteristics Report FY 2018 Q1.pdf,TOTAL,18295,825,19120,13391,70.0%,5434,28.4%,63,.3%,69,.4%,163,.9%,19120,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=4b363da123147198_3abff4f8a2b47ed6&schid=8018&row=16&page=0
Inmate Characteristics Report FY 2018 Q2.pdf,MCIH MCTC,626 2807,. .,626 2807,340 1815,54.3% 64.7%,267 953,42.7% 34.0%,1 12,.2% .4%,3 15,.5% .5%,15 12,2.4% .4%,626 2807,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8018&row=0&page=0
Inmate Characteristics Report FY 2018 Q2.pdf,NBCI,1170,.,1170,970,82.9%,186,15.9%,1,.1%,4,.3%,9,.8%,1170,,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3abff4f8a2b47ed6&job=81fb493a14f544c3&docid=fb08c97e320f7908_3abff4f8a2b47ed6&schid=8018&row=1&page=0
