month,race_category,total_intakes,total_daily_intakes,percentage
2020-01-01,Black,343,448,76.5625
2020-01-01,Non-Black or Unknown,105,448,23.4375
2020-02-01,Black,305,447,68.23266219239373
2020-02-01,Non-Black or Unknown,142,447,31.767337807606268
2020-03-01,Black,156,210,74.28571428571429
2020-03-01,Non-Black or Unknown,54,210,25.71428571428571
2020-04-01,Black,3,3,100
2020-04-01,Non-Black or Unknown,0,3,0
2020-05-01,Black,21,33,63.63636363636363
2020-05-01,Non-Black or Unknown,12,33,36.36363636363637
2020-06-01,Black,33,41,80.48780487804879
2020-06-01,Non-Black or Unknown,8,41,19.51219512195122
2020-07-01,Black,54,81,66.66666666666666
2020-07-01,Non-Black or Unknown,27,81,33.33333333333333
2020-08-01,Black,94,158,59.49367088607595
2020-08-01,Non-Black or Unknown,64,158,40.50632911392405
2020-09-01,Black,147,209,70.33492822966507
2020-09-01,Non-Black or Unknown,62,209,29.665071770334926
2020-10-01,Black,134,204,65.68627450980392
2020-10-01,Non-Black or Unknown,70,204,34.31372549019608
2020-11-01,Black,106,162,65.4320987654321
2020-11-01,Non-Black or Unknown,56,162,34.5679012345679
2020-12-01,Black,84,129,65.11627906976744
2020-12-01,Non-Black or Unknown,45,129,34.883720930232556
2021-01-01,Black,85,142,59.859154929577464
2021-01-01,Non-Black or Unknown,57,142,40.140845070422536
2021-02-01,Black,59,79,74.68354430379746
2021-02-01,Non-Black or Unknown,20,79,25.31645569620253
2021-03-01,Black,87,136,63.970588235294116
2021-03-01,Non-Black or Unknown,49,136,36.029411764705884
2021-04-01,Black,130,202,64.35643564356435
2021-04-01,Non-Black or Unknown,72,202,35.64356435643564
2021-05-01,Black,112,153,73.20261437908496
2021-05-01,Non-Black or Unknown,41,153,26.797385620915033
2021-06-01,Black,159,224,70.98214285714286
2021-06-01,Non-Black or Unknown,65,224,29.017857142857146
2021-07-01,Black,195,301,64.78405315614619
2021-07-01,Non-Black or Unknown,106,301,35.21594684385382
2021-08-01,Black,277,422,65.63981042654028
2021-08-01,Non-Black or Unknown,145,422,34.360189573459714
2021-09-01,Black,287,425,67.52941176470588
2021-09-01,Non-Black or Unknown,138,425,32.470588235294116
2021-10-01,Black,258,376,68.61702127659575
2021-10-01,Non-Black or Unknown,118,376,31.382978723404253
2021-11-01,Black,252,350,72
2021-11-01,Non-Black or Unknown,98,350,28.000000000000004
2021-12-01,Black,240,354,67.79661016949152
2021-12-01,Non-Black or Unknown,114,354,32.20338983050847
2022-01-01,Black,124,172,72.09302325581395
2022-01-01,Non-Black or Unknown,48,172,27.906976744186046
2022-02-01,Black,175,260,67.3076923076923
2022-02-01,Non-Black or Unknown,85,260,32.69230769230769
2022-03-01,Black,254,383,66.31853785900783
2022-03-01,Non-Black or Unknown,129,383,33.68146214099217
2022-04-01,Black,225,324,69.44444444444444
2022-04-01,Non-Black or Unknown,99,324,30.555555555555557
2022-05-01,Black,240,343,69.97084548104957
2022-05-01,Non-Black or Unknown,103,343,30.029154518950435
2022-06-01,Black,272,371,73.31536388140162
2022-06-01,Non-Black or Unknown,99,371,26.68463611859838
2022-07-01,Black,229,304,75.32894736842105
2022-07-01,Non-Black or Unknown,75,304,24.671052631578945
2022-08-01,Black,295,389,75.83547557840618
2022-08-01,Non-Black or Unknown,94,389,24.164524421593832
2022-09-01,Black,271,378,71.6931216931217
2022-09-01,Non-Black or Unknown,107,378,28.306878306878307
2022-10-01,Black,271,372,72.84946236559139
2022-10-01,Non-Black or Unknown,101,372,27.1505376344086
2022-11-01,Black,244,362,67.40331491712708
2022-11-01,Non-Black or Unknown,118,362,32.59668508287293
2022-12-01,Black,282,392,71.93877551020408
2022-12-01,Non-Black or Unknown,110,392,28.061224489795915
2023-01-01,Black,226,331,68.27794561933534
2023-01-01,Non-Black or Unknown,105,331,31.722054380664655
2023-02-01,Black,306,390,78.46153846153847
2023-02-01,Non-Black or Unknown,84,390,21.53846153846154
2023-03-01,Black,295,393,75.06361323155217
2023-03-01,Non-Black or Unknown,98,393,24.93638676844784
2023-04-01,Black,268,374,71.65775401069519
2023-04-01,Non-Black or Unknown,106,374,28.342245989304814
2023-05-01,Black,276,383,72.0626631853786
2023-05-01,Non-Black or Unknown,107,383,27.93733681462141
2023-06-01,Black,292,398,73.36683417085426
2023-06-01,Non-Black or Unknown,106,398,26.633165829145728
2023-07-01,Black,251,366,68.5792349726776
2023-07-01,Non-Black or Unknown,115,366,31.420765027322407
2023-08-01,Black,303,413,73.36561743341404
2023-08-01,Non-Black or Unknown,110,413,26.634382566585955
2023-09-01,Black,272,358,75.97765363128491
2023-09-01,Non-Black or Unknown,86,358,24.022346368715084
2023-10-01,Black,297,404,73.51485148514851
2023-10-01,Non-Black or Unknown,107,404,26.48514851485149
2023-11-01,Black,257,350,73.42857142857143
2023-11-01,Non-Black or Unknown,93,350,26.571428571428573
2023-12-01,Black,242,344,70.34883720930233
2023-12-01,Non-Black or Unknown,102,344,29.651162790697676
