year;month;quarter;male;female;black #;black %;white #;white %;latinx #;latinx %;native #;native %;asian #;asian %;unknown #;unknown %;total;;test total race;test total sex
2018;Oct. 2017;1;18295;825;13391;70;5434;28.4;;;63;0.3;69;0.4;163;0.9;19120;;19120;19120
2018;Jan. 2018;2;18009;796;13223;70.3;5293;28.1;;;55;0.3;70;0.4;164;0.9;18805;;18805;18805
2018;April 2018;3;17807;807;13126;70.5;5205;28;;;55;0.3;69;0.4;159;0.9;18614;;18614;18614
2018;July 2018;4;17803;831;13198;70.8;5174;27.8;;;47;0.3;67;0.4;149;0.8;18635;;18635;18634
2019;Oct. 2018;1;17701;842;13177;71.1;5099;27.5;;;49;0.3;64;0.3;154;0.8;18543;;18543;18543
2019;Jan 2019;2;17617;810;13085;71;5061;27.5;;;49;0.3;66;0.4;166;0.9;18427;;18427;18427
2019;April 2019;3;17546;798;13051;71.1;5010;27.3;;;47;0.3;67;0.4;169;0.9;18344;;18344;18344
2019;July 2019;4;17478;766;13035;71.4;4931;27;;;48;0.3;67;0.4;163;0.9;18244;;18244;18244
2020;Oct 2019;1;17443;759;13056;71.7;4870;26.8;;;50;0.3;66;0.4;160;0.9;18202;;18202;18202
2020;Jan 2020;2;17369;719;13009;71.9;4798;26.5;;;49;0.3;72;0.4;160;0.9;18088;;18088;18088
2020;April 2020;3;17200;683;12883;72;4715;26.4;;;47;0.3;72;0.4;166;0.9;17883;;17883;17883
2020;July 2020;4;16058;594;12027;72.2;4364;26.2;;;44;0.3;67;0.4;150;0.9;16652;;16652;16652
2021;Oct 2020;1;15433;554;11537;72.2;4195;26.2;;;41;0.3;61;0.4;153;1;15987;;15987;15987
2021;Jan 2021;2;14858;520;11090;72.1;4031;26.2;;;40;0.3;61;0.4;156;1.0;15378;;15378;15378
2021;April 2021;3;14333;480;10680;72.1;3356;22.7;662;4.5;32;0.2;53;0.4;30;0.2;14813;;14813;14813
2021;July 2021;4;13922;468;10358;72;3243;22.5;675;4.7;33;0.2;50;0.3;31;0.2;14390;;14390;14390
2022;Oct 2021;1;14176;487;10523;71.8;3327;22. 7;691;4.7;33;0.2;55;0.4;34;0.2;14663;;14663;14663
2022;Jan 2022;2;14359;505;10664;71.7;3378;22.7;698;4.7;35;0.2;55;0.4;34;0.2;14864;;14864;14864
2022;April 2022;3;14365;502;10646;71.6;3409;22.9;691;4.6;31;0.2;58;0.4;32;0.2;14867;;14867;14867
2022;July 2022;4;14470;513;10719;71.5;3433;22.9;712;4.8;33;0.2;54;0.4;32;0.2;14983;;14983;14983
2023;Oct 2022;1;14658;524;10908;71.8;3419;22.5;736;4.8;32;0.2;56;0.4;21;0.2;15182;;15172;15182
2023;Jan 2023;2;14796;533;11027;71.9;3427;22.4;749;4.9;34;0.2;60;0.4;32;0.2;15329;;15329;15329
2023;April 2023;3;14895;562;11158;72.2;3414;22.1;757;4.9;30;0.2;64;0.4;34;0.2;15457;;15457;15457
2023;Oct 2023;4;15042;589;11317;72.4;3411;21.8;773;4.9;28;0.2;69;0.4;33;0.2;15631;;15631;15631
