month,race_category,total_releases,total_monthly_releases,percentage
2020-01-01,Black,443,638,69.43573667711598
2020-01-01,Non-Black or Unknown,195,638,30.56426332288401
2020-02-01,Black,398,563,70.69271758436945
2020-02-01,Non-Black or Unknown,165,563,29.307282415630553
2020-03-01,Black,394,581,67.81411359724613
2020-03-01,Non-Black or Unknown,187,581,32.18588640275387
2020-04-01,Black,350,515,67.96116504854369
2020-04-01,Non-Black or Unknown,165,515,32.038834951456316
2020-05-01,Black,402,584,68.83561643835617
2020-05-01,Non-Black or Unknown,182,584,31.164383561643838
2020-06-01,Black,252,378,66.66666666666666
2020-06-01,Non-Black or Unknown,126,378,33.33333333333333
2020-07-01,Black,278,419,66.34844868735084
2020-07-01,Non-Black or Unknown,141,419,33.65155131264916
2020-08-01,Black,296,436,67.88990825688074
2020-08-01,Non-Black or Unknown,140,436,32.11009174311927
2020-09-01,Black,281,413,68.03874092009686
2020-09-01,Non-Black or Unknown,132,413,31.961259079903147
2020-10-01,Black,318,476,66.80672268907563
2020-10-01,Non-Black or Unknown,158,476,33.193277310924366
2020-11-01,Black,251,371,67.65498652291106
2020-11-01,Non-Black or Unknown,120,371,32.34501347708895
2020-12-01,Black,356,503,70.77534791252485
2020-12-01,Non-Black or Unknown,147,503,29.22465208747515
2021-01-01,Black,244,360,67.77777777777779
2021-01-01,Non-Black or Unknown,116,360,32.22222222222222
2021-02-01,Black,237,349,67.90830945558739
2021-02-01,Non-Black or Unknown,112,349,32.09169054441261
2021-03-01,Black,245,397,61.712846347607055
2021-03-01,Non-Black or Unknown,152,397,38.287153652392945
2021-04-01,Black,280,410,68.29268292682927
2021-04-01,Non-Black or Unknown,130,410,31.70731707317073
2021-05-01,Black,280,411,68.1265206812652
2021-05-01,Non-Black or Unknown,131,411,31.873479318734795
2021-06-01,Black,283,409,69.19315403422983
2021-06-01,Non-Black or Unknown,126,409,30.80684596577017
2021-07-01,Black,280,406,68.96551724137932
2021-07-01,Non-Black or Unknown,126,406,31.03448275862069
2021-08-01,Black,232,334,69.46107784431138
2021-08-01,Non-Black or Unknown,102,334,30.538922155688624
2021-09-01,Black,206,312,66.02564102564102
2021-09-01,Non-Black or Unknown,106,312,33.97435897435898
2021-10-01,Black,274,422,64.92890995260665
2021-10-01,Non-Black or Unknown,148,422,35.07109004739337
2021-11-01,Black,233,342,68.12865497076024
2021-11-01,Non-Black or Unknown,109,342,31.871345029239766
2021-12-01,Black,316,452,69.91150442477876
2021-12-01,Non-Black or Unknown,136,452,30.08849557522124
