file_date,epo granted,po stay granted,po def granted,epo denied,po stay denied,po def denied
2017-01-01,23,2,NA,NA,NA,NA
2017-01-02,26,2,NA,NA,NA,NA
2017-01-03,14,3,NA,NA,NA,NA
2017-01-04,14,6,NA,NA,NA,NA
2017-01-05,19,2,NA,NA,NA,NA
2017-01-06,12,3,NA,NA,NA,NA
2017-01-07,12,9,NA,NA,NA,NA
2017-01-08,17,6,NA,NA,NA,NA
2017-01-09,21,6,NA,NA,NA,NA
2017-01-10,22,3,NA,NA,NA,NA
2017-01-11,23,5,NA,NA,NA,NA
2017-01-12,21,7,NA,NA,NA,NA
2017-01-13,25,14,NA,NA,NA,NA
2017-01-14,20,2,NA,NA,NA,NA
2017-01-15,20,4,NA,NA,NA,NA
2017-01-16,27,NA,NA,NA,NA,NA
2017-01-17,15,5,NA,NA,NA,NA
2017-01-18,21,7,NA,NA,NA,NA
2017-01-19,19,18,NA,NA,NA,NA
2017-01-20,17,3,NA,NA,NA,NA
2017-01-21,20,3,NA,NA,NA,NA
2017-01-22,30,9,NA,NA,NA,NA
2017-01-23,27,11,NA,NA,NA,NA
2017-01-24,22,7,NA,NA,NA,NA
2017-01-25,16,NA,NA,NA,NA,NA
2017-01-26,16,6,NA,NA,NA,NA
2017-01-27,22,12,NA,NA,NA,NA
2017-01-28,19,NA,NA,NA,NA,NA
2017-01-29,17,4,NA,NA,NA,NA
2017-01-30,24,7,NA,NA,NA,NA
2017-01-31,30,11,NA,NA,NA,NA
2017-02-01,21,2,NA,NA,NA,NA
2017-02-02,14,18,NA,NA,NA,NA
2017-02-03,20,7,NA,NA,NA,NA
2017-02-04,18,6,NA,NA,NA,NA
2017-02-05,20,2,NA,NA,NA,NA
2017-02-06,34,6,NA,NA,NA,NA
2017-02-07,13,10,NA,NA,NA,NA
2017-02-08,29,7,NA,NA,NA,NA
2017-02-09,20,11,NA,NA,NA,NA
2017-02-10,19,18,NA,NA,NA,NA
2017-02-11,27,6,NA,NA,NA,NA
2017-02-12,32,10,1,NA,NA,NA
2017-02-13,18,2,1,NA,NA,NA
2017-02-14,18,8,NA,NA,NA,NA
2017-02-15,18,3,NA,NA,NA,NA
2017-02-16,16,8,NA,NA,NA,NA
2017-02-17,19,12,NA,NA,NA,NA
2017-02-18,25,6,NA,NA,NA,NA
2017-02-19,21,1,NA,NA,NA,NA
2017-02-20,27,3,NA,NA,NA,NA
2017-02-21,27,7,NA,NA,NA,NA
2017-02-22,19,10,NA,NA,NA,NA
2017-02-23,26,7,NA,NA,NA,NA
2017-02-24,22,10,NA,NA,NA,NA
2017-02-25,16,5,NA,NA,NA,NA
2017-02-26,21,2,NA,NA,NA,NA
2017-02-27,24,11,NA,NA,NA,NA
2017-02-28,20,2,NA,NA,NA,NA
2017-03-01,22,10,NA,NA,NA,NA
2017-03-02,20,13,NA,NA,NA,NA
2017-03-03,23,5,1,NA,NA,NA
2017-03-04,25,11,NA,NA,NA,NA
2017-03-05,19,1,NA,NA,NA,NA
2017-03-06,20,4,NA,NA,NA,NA
2017-03-07,16,5,NA,NA,NA,NA
2017-03-08,22,7,NA,NA,NA,NA
