date,n
2021-01-01,150
2021-01-02,69
2021-01-03,101
2021-01-04,91
2021-01-05,68
2021-01-06,58
2021-01-07,62
2021-01-08,69
2021-01-09,71
2021-01-10,92
2021-01-11,68
2021-01-12,70
2021-01-13,68
2021-01-14,65
2021-01-15,89
2021-01-16,88
2021-01-17,103
2021-01-18,84
2021-01-19,76
2021-01-20,71
2021-01-21,66
2021-01-22,93
2021-01-23,88
2021-01-24,105
2021-01-25,70
2021-01-26,70
2021-01-27,57
2021-01-28,62
2021-01-29,62
2021-01-30,92
2021-01-31,109
2021-02-01,78
2021-02-02,69
2021-02-03,65
2021-02-04,72
2021-02-05,71
2021-02-06,87
2021-02-07,98
2021-02-08,78
2021-02-09,59
2021-02-10,66
2021-02-11,77
2021-02-12,72
2021-02-13,82
2021-02-14,86
2021-02-15,62
2021-02-16,54
2021-02-17,79
2021-02-18,73
2021-02-19,93
2021-02-20,92
2021-02-21,119
2021-02-22,86
2021-02-23,70
2021-02-24,75
2021-02-25,70
2021-02-26,94
2021-02-27,98
2021-02-28,126
2021-03-01,84
2021-03-02,63
2021-03-03,67
2021-03-04,56
2021-03-05,79
2021-03-06,77
2021-03-07,106
2021-03-08,77
2021-03-09,64
2021-03-10,67
2021-03-11,84
2021-03-12,83
2021-03-13,90
2021-03-14,92
2021-03-15,66
2021-03-16,70
2021-03-17,66
2021-03-18,59
2021-03-19,46
2021-03-20,82
2021-03-21,106
2021-03-22,79
2021-03-23,68
2021-03-24,62
2021-03-25,74
2021-03-26,100
2021-03-27,109
2021-03-28,104
2021-03-29,78
2021-03-30,71
2021-03-31,67
2021-04-01,87
2021-04-02,63
2021-04-03,98
2021-04-04,118
2021-04-05,91
2021-04-06,85
2021-04-07,64
2021-04-08,81
2021-04-09,76
2021-04-10,99
2021-04-11,82
2021-04-12,75
2021-04-13,81
2021-04-14,65
2021-04-15,79
2021-04-16,86
2021-04-17,81
2021-04-18,85
2021-04-19,79
2021-04-20,64
2021-04-21,76
2021-04-22,69
2021-04-23,73
2021-04-24,91
2021-04-25,121
2021-04-26,95
2021-04-27,80
2021-04-28,101
2021-04-29,71
2021-04-30,69
2021-05-01,98
2021-05-02,121
2021-05-03,92
2021-05-04,84
2021-05-05,80
2021-05-06,72
2021-05-07,82
2021-05-08,105
2021-05-09,103
2021-05-10,84
2021-05-11,99
2021-05-12,71
2021-05-13,81
2021-05-14,64
2021-05-15,99
2021-05-16,102
2021-05-17,90
2021-05-18,83
2021-05-19,83
2021-05-20,86
2021-05-21,93
2021-05-22,99
2021-05-23,105
2021-05-24,76
2021-05-25,80
2021-05-26,68
2021-05-27,72
2021-05-28,86
2021-05-29,94
2021-05-30,86
2021-05-31,104
2021-06-01,106
2021-06-02,74
2021-06-03,65
2021-06-04,76
2021-06-05,91
2021-06-06,109
2021-06-07,89
2021-06-08,80
2021-06-09,82
2021-06-10,62
2021-06-11,96
2021-06-12,106
2021-06-13,96
2021-06-14,95
2021-06-15,81
2021-06-16,81
2021-06-17,79
2021-06-18,88
2021-06-19,117
2021-06-20,108
2021-06-21,71
2021-06-22,79
2021-06-23,77
2021-06-24,72
2021-06-25,75
2021-06-26,103
2021-06-27,91
2021-06-28,93
2021-06-29,78
2021-06-30,74
2021-07-01,92
2021-07-02,88
2021-07-03,85
2021-07-04,115
2021-07-05,88
2021-07-06,65
2021-07-07,86
2021-07-08,65
2021-07-09,73
2021-07-10,83
2021-07-11,101
2021-07-12,83
2021-07-13,62
2021-07-14,80
2021-07-15,72
2021-07-16,97
2021-07-17,80
2021-07-18,115
2021-07-19,78
2021-07-20,73
2021-07-21,71
2021-07-22,89
2021-07-23,75
2021-07-24,107
2021-07-25,109
2021-07-26,74
2021-07-27,85
2021-07-28,76
2021-07-29,69
2021-07-30,67
2021-07-31,82
2021-08-01,131
2021-08-02,99
2021-08-03,60
2021-08-04,77
2021-08-05,58
2021-08-06,88
2021-08-07,73
2021-08-08,98
2021-08-09,78
2021-08-10,63
2021-08-11,58
2021-08-12,79
2021-08-13,77
2021-08-14,101
2021-08-15,95
2021-08-16,71
2021-08-17,61
2021-08-18,75
2021-08-19,74
2021-08-20,84
2021-08-21,107
2021-08-22,86
2021-08-23,74
2021-08-24,76
2021-08-25,64
2021-08-26,54
2021-08-27,60
2021-08-28,88
2021-08-29,137
2021-08-30,85
2021-08-31,61
2021-09-01,111
2021-09-02,75
2021-09-03,79
2021-09-04,109
2021-09-05,116
2021-09-06,105
2021-09-07,78
2021-09-08,74
2021-09-09,70
2021-09-10,86
2021-09-11,98
2021-09-12,109
