date,n,rolling_avg
2021-01-01,150,NA
2021-01-02,69,NA
2021-01-03,101,NA
2021-01-04,91,NA
2021-01-05,68,NA
2021-01-06,58,NA
2021-01-07,62,85.57142857142857
2021-01-08,69,74
2021-01-09,71,74.28571428571429
2021-01-10,92,73
2021-01-11,68,69.71428571428571
2021-01-12,70,70
2021-01-13,68,71.42857142857143
2021-01-14,65,71.85714285714286
2021-01-15,89,74.71428571428571
2021-01-16,88,77.14285714285714
2021-01-17,103,78.71428571428571
2021-01-18,84,81
2021-01-19,76,81.85714285714286
2021-01-20,71,82.28571428571429
2021-01-21,66,82.42857142857143
2021-01-22,93,83
2021-01-23,88,83
2021-01-24,105,83.28571428571429
2021-01-25,70,81.28571428571429
2021-01-26,70,80.42857142857143
2021-01-27,57,78.42857142857143
2021-01-28,62,77.85714285714286
2021-01-29,62,73.42857142857143
2021-01-30,92,74
2021-01-31,109,74.57142857142857
2021-02-01,78,75.71428571428571
2021-02-02,69,75.57142857142857
2021-02-03,65,76.71428571428571
2021-02-04,72,78.14285714285714
2021-02-05,71,79.42857142857143
2021-02-06,87,78.71428571428571
2021-02-07,98,77.14285714285714
2021-02-08,78,77.14285714285714
2021-02-09,59,75.71428571428571
2021-02-10,66,75.85714285714286
2021-02-11,77,76.57142857142857
2021-02-12,72,76.71428571428571
2021-02-13,82,76
2021-02-14,86,74.28571428571429
2021-02-15,62,72
2021-02-16,54,71.28571428571429
2021-02-17,79,73.14285714285714
2021-02-18,73,72.57142857142857
2021-02-19,93,75.57142857142857
2021-02-20,92,77
2021-02-21,119,81.71428571428571
2021-02-22,86,85.14285714285714
2021-02-23,70,87.42857142857143
2021-02-24,75,86.85714285714286
2021-02-25,70,86.42857142857143
2021-02-26,94,86.57142857142857
2021-02-27,98,87.42857142857143
2021-02-28,126,88.42857142857143
2021-03-01,84,88.14285714285714
2021-03-02,63,87.14285714285714
2021-03-03,67,86
2021-03-04,56,84
2021-03-05,79,81.85714285714286
2021-03-06,77,78.85714285714286
2021-03-07,106,76
2021-03-08,77,75
2021-03-09,64,75.14285714285714
2021-03-10,67,75.14285714285714
2021-03-11,84,79.14285714285714
2021-03-12,83,79.71428571428571
2021-03-13,90,81.57142857142857
2021-03-14,92,79.57142857142857
2021-03-15,66,78
2021-03-16,70,78.85714285714286
2021-03-17,66,78.71428571428571
2021-03-18,59,75.14285714285714
2021-03-19,46,69.85714285714286
2021-03-20,82,68.71428571428571
2021-03-21,106,70.71428571428571
2021-03-22,79,72.57142857142857
2021-03-23,68,72.28571428571429
2021-03-24,62,71.71428571428571
2021-03-25,74,73.85714285714286
2021-03-26,100,81.57142857142857
2021-03-27,109,85.42857142857143
2021-03-28,104,85.14285714285714
2021-03-29,78,85
2021-03-30,71,85.42857142857143
2021-03-31,67,86.14285714285714
2021-04-01,87,88
2021-04-02,63,82.71428571428571
2021-04-03,98,81.14285714285714
2021-04-04,118,83.14285714285714
2021-04-05,91,85
2021-04-06,85,87
2021-04-07,64,86.57142857142857
2021-04-08,81,85.71428571428571
2021-04-09,76,87.57142857142857
2021-04-10,99,87.71428571428571
2021-04-11,82,82.57142857142857
2021-04-12,75,80.28571428571429
2021-04-13,81,79.71428571428571
2021-04-14,65,79.85714285714286
2021-04-15,79,79.57142857142857
2021-04-16,86,81
2021-04-17,81,78.42857142857143
2021-04-18,85,78.85714285714286
2021-04-19,79,79.42857142857143
2021-04-20,64,77
2021-04-21,76,78.57142857142857
2021-04-22,69,77.14285714285714
2021-04-23,73,75.28571428571429
2021-04-24,91,76.71428571428571
2021-04-25,121,81.85714285714286
2021-04-26,95,84.14285714285714
2021-04-27,80,86.42857142857143
2021-04-28,101,90
2021-04-29,71,90.28571428571429
2021-04-30,69,89.71428571428571
2021-05-01,98,90.71428571428571
2021-05-02,121,90.71428571428571
2021-05-03,92,90.28571428571429
2021-05-04,84,90.85714285714286
2021-05-05,80,87.85714285714286
2021-05-06,72,88
2021-05-07,82,89.85714285714286
2021-05-08,105,90.85714285714286
2021-05-09,103,88.28571428571429
2021-05-10,84,87.14285714285714
2021-05-11,99,89.28571428571429
2021-05-12,71,88
2021-05-13,81,89.28571428571429
2021-05-14,64,86.71428571428571
2021-05-15,99,85.85714285714286
2021-05-16,102,85.71428571428571
2021-05-17,90,86.57142857142857
2021-05-18,83,84.28571428571429
2021-05-19,83,86
2021-05-20,86,86.71428571428571
2021-05-21,93,90.85714285714286
2021-05-22,99,90.85714285714286
2021-05-23,105,91.28571428571429
2021-05-24,76,89.28571428571429
2021-05-25,80,88.85714285714286
2021-05-26,68,86.71428571428571
2021-05-27,72,84.71428571428571
2021-05-28,86,83.71428571428571
2021-05-29,94,83
2021-05-30,86,80.28571428571429
2021-05-31,104,84.28571428571429
2021-06-01,106,88
2021-06-02,74,88.85714285714286
2021-06-03,65,87.85714285714286
2021-06-04,76,86.42857142857143
2021-06-05,91,86
2021-06-06,109,89.28571428571429
2021-06-07,89,87.14285714285714
2021-06-08,80,83.42857142857143
2021-06-09,82,84.57142857142857
2021-06-10,62,84.14285714285714
2021-06-11,96,87
2021-06-12,106,89.14285714285714
2021-06-13,96,87.28571428571429
2021-06-14,95,88.14285714285714
2021-06-15,81,88.28571428571429
2021-06-16,81,88.14285714285714
2021-06-17,79,90.57142857142857
2021-06-18,88,89.42857142857143
2021-06-19,117,91
2021-06-20,108,92.71428571428571
2021-06-21,71,89.28571428571429
2021-06-22,79,89
2021-06-23,77,88.42857142857143
2021-06-24,72,87.42857142857143
2021-06-25,75,85.57142857142857
2021-06-26,103,83.57142857142857
2021-06-27,91,81.14285714285714
2021-06-28,93,84.28571428571429
2021-06-29,78,84.14285714285714
2021-06-30,74,83.71428571428571
2021-07-01,92,86.57142857142857
2021-07-02,88,88.42857142857143
2021-07-03,85,85.85714285714286
2021-07-04,115,89.28571428571429
2021-07-05,88,88.57142857142857
2021-07-06,65,86.71428571428571
2021-07-07,86,88.42857142857143
2021-07-08,65,84.57142857142857
2021-07-09,73,82.42857142857143
2021-07-10,83,82.14285714285714
2021-07-11,101,80.14285714285714
2021-07-12,83,79.42857142857143
2021-07-13,62,79
2021-07-14,80,78.14285714285714
2021-07-15,72,79.14285714285714
2021-07-16,97,82.57142857142857
2021-07-17,80,82.14285714285714
2021-07-18,115,84.14285714285714
2021-07-19,78,83.42857142857143
2021-07-20,73,85
2021-07-21,71,83.71428571428571
2021-07-22,89,86.14285714285714
2021-07-23,75,83
2021-07-24,107,86.85714285714286
2021-07-25,109,86
2021-07-26,74,85.42857142857143
2021-07-27,85,87.14285714285714
2021-07-28,76,87.85714285714286
2021-07-29,69,85
2021-07-30,67,83.85714285714286
2021-07-31,82,80.28571428571429
2021-08-01,131,83.42857142857143
2021-08-02,99,87
2021-08-03,60,83.42857142857143
2021-08-04,77,83.57142857142857
2021-08-05,58,82
2021-08-06,88,85
2021-08-07,73,83.71428571428571
2021-08-08,98,79
2021-08-09,78,76
2021-08-10,63,76.42857142857143
2021-08-11,58,73.71428571428571
2021-08-12,79,76.71428571428571
2021-08-13,77,75.14285714285714
2021-08-14,101,79.14285714285714
2021-08-15,95,78.71428571428571
2021-08-16,71,77.71428571428571
2021-08-17,61,77.42857142857143
2021-08-18,75,79.85714285714286
2021-08-19,74,79.14285714285714
2021-08-20,84,80.14285714285714
2021-08-21,107,81
2021-08-22,86,79.71428571428571
2021-08-23,74,80.14285714285714
2021-08-24,76,82.28571428571429
2021-08-25,64,80.71428571428571
2021-08-26,54,77.85714285714286
2021-08-27,60,74.42857142857143
2021-08-28,88,71.71428571428571
2021-08-29,137,79
2021-08-30,85,80.57142857142857
2021-08-31,61,78.42857142857143
2021-09-01,111,85.14285714285714
2021-09-02,75,88.14285714285714
2021-09-03,79,90.85714285714286
2021-09-04,109,93.85714285714286
2021-09-05,116,90.85714285714286
2021-09-06,105,93.71428571428571
2021-09-07,78,96.14285714285714
2021-09-08,74,90.85714285714286
2021-09-09,70,90.14285714285714
2021-09-10,86,91.14285714285714
2021-09-11,98,89.57142857142857
