date,n,rolling_avg
2017-01-01,117,NA
2017-01-02,52,NA
2017-01-03,48,NA
2017-01-04,52,NA
2017-01-05,64,NA
2017-01-06,49,NA
2017-01-07,55,62.42857142857143
2017-01-08,66,55.142857142857146
2017-01-09,60,56.285714285714285
2017-01-10,38,54.857142857142854
2017-01-11,48,54.285714285714285
2017-01-12,62,54
2017-01-13,46,53.57142857142857
2017-01-14,77,56.714285714285715
2017-01-15,65,56.57142857142857
2017-01-16,68,57.714285714285715
2017-01-17,53,59.857142857142854
2017-01-18,50,60.142857142857146
2017-01-19,58,59.57142857142857
2017-01-20,48,59.857142857142854
2017-01-21,67,58.42857142857143
2017-01-22,90,62
2017-01-23,67,61.857142857142854
2017-01-24,59,62.714285714285715
2017-01-25,53,63.142857142857146
2017-01-26,48,61.714285714285715
2017-01-27,40,60.57142857142857
2017-01-28,71,61.142857142857146
2017-01-29,76,59.142857142857146
2017-01-30,50,56.714285714285715
2017-01-31,56,56.285714285714285
2017-02-01,80,60.142857142857146
2017-02-02,61,62
2017-02-03,62,65.14285714285714
2017-02-04,60,63.57142857142857
2017-02-05,78,63.857142857142854
2017-02-06,65,66
2017-02-07,56,66
2017-02-08,59,63
2017-02-09,57,62.42857142857143
2017-02-10,58,61.857142857142854
2017-02-11,82,65
2017-02-12,84,65.85714285714286
2017-02-13,46,63.142857142857146
2017-02-14,41,61
2017-02-15,47,59.285714285714285
2017-02-16,55,59
2017-02-17,53,58.285714285714285
2017-02-18,67,56.142857142857146
2017-02-19,70,54.142857142857146
2017-02-20,64,56.714285714285715
2017-02-21,51,58.142857142857146
2017-02-22,66,60.857142857142854
2017-02-23,45,59.42857142857143
2017-02-24,60,60.42857142857143
2017-02-25,58,59.142857142857146
2017-02-26,60,57.714285714285715
2017-02-27,60,57.142857142857146
2017-02-28,45,56.285714285714285
2017-03-01,57,55
2017-03-02,56,56.57142857142857
2017-03-03,59,56.42857142857143
2017-03-04,65,57.42857142857143
2017-03-05,75,59.57142857142857
2017-03-06,59,59.42857142857143
2017-03-07,62,61.857142857142854
2017-03-08,54,61.42857142857143
2017-03-09,52,60.857142857142854
2017-03-10,54,60.142857142857146
2017-03-11,59,59.285714285714285
2017-03-12,78,59.714285714285715
2017-03-13,66,60.714285714285715
2017-03-14,60,60.42857142857143
2017-03-15,52,60.142857142857146
2017-03-16,59,61.142857142857146
2017-03-17,67,63
2017-03-18,66,64
2017-03-19,79,64.14285714285714
2017-03-20,67,64.28571428571429
2017-03-21,51,63
2017-03-22,49,62.57142857142857
2017-03-23,57,62.285714285714285
2017-03-24,58,61
2017-03-25,78,62.714285714285715
2017-03-26,76,62.285714285714285
2017-03-27,61,61.42857142857143
2017-03-28,55,62
2017-03-29,51,62.285714285714285
2017-03-30,66,63.57142857142857
2017-03-31,60,63.857142857142854
2017-04-01,68,62.42857142857143
2017-04-02,70,61.57142857142857
2017-04-03,79,64.14285714285714
2017-04-04,56,64.28571428571429
2017-04-05,61,65.71428571428571
2017-04-06,54,64
2017-04-07,64,64.57142857142857
2017-04-08,60,63.42857142857143
2017-04-09,86,65.71428571428571
2017-04-10,73,64.85714285714286
2017-04-11,72,67.14285714285714
2017-04-12,54,66.14285714285714
2017-04-13,61,67.14285714285714
2017-04-14,68,67.71428571428571
2017-04-15,83,71
2017-04-16,85,70.85714285714286
2017-04-17,77,71.42857142857143
2017-04-18,53,68.71428571428571
2017-04-19,74,71.57142857142857
2017-04-20,46,69.42857142857143
2017-04-21,63,68.71428571428571
2017-04-22,65,66.14285714285714
2017-04-23,71,64.14285714285714
2017-04-24,52,60.57142857142857
2017-04-25,70,63
2017-04-26,56,60.42857142857143
2017-04-27,52,61.285714285714285
