Incident,Date,Offense Type,Premise
16918617,1/1/2017,Fam Viol - Harassment - By Other Means (T),Residence or House
106986218,1/1/2017,Harassment - By Other Means (T),Residence or House
126217,1/1/2017,"PCS - Felony -Opium,Cocaine,Derivat (Poss)",Apartment
128517,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Convenience Store Parking Lot
134717,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Mobile Home
140817,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
144317,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Road, Street, or Sidewalk"
145317,1/1/2017,Evade Arrest or Detention (On Foot),Apartment Parking Lot
145817,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Road, Street, or Sidewalk"
152017,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Other Parking Lot
152517,1/1/2017,Report Created In Error,Vacant School or College/University
153917,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
167017,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Road, Street, or Sidewalk"
230917,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Road, Street, or Sidewalk"
231317,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment Parking Lot
226617,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
238217,1/1/2017,Fam Viol-Terroristic Threat Other Means(T),Residence or House
242617,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Service or Gas Station
243017,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
245417,1/1/2017,Parole or Probation Violator,Residence or House
250117,1/1/2017,Parole or Probation Violator,"Hotel, Motel, Inn, Etc."
424417,1/1/2017,Fam Viol-Terroristic Threat Other Means(T),Department or Discount Store
430917,1/1/2017,Affray (Fighting In A Public Place),Strip Business Center Parking Lot
64673319,1/1/2017,Sexual Assault (Fondling) - Felony,Residence or House
68517218,1/1/2017,Juvenile Abuse / Referrals,Residence or House
72559417,1/1/2017,Fam Viol-Terroristic Threat Other Means(T),Apartment
41359621,1/1/2017,Indecent Assault (Sexual Component),Residence or House
52486420,1/1/2017,Fraudulent Use or Possession of ID Info,"Other, Unknown, or Not Listed"
131415720,1/1/2017,Sexual Assault (Other Penetration)(Child),Apartment
80678518,1/1/2017,Juvenile Abuse / Referrals,Residence or House
315617,1/1/2017,Investigation - Family Violence,Residence or House
317617,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Service or Gas Station
320317,1/1/2017,Fam Viol - Harassment - By Other Means (T),Residence or House
321917,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),"Road, Street, or Sidewalk"
327317,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Apartment Parking Lot
419917,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
509917,1/1/2017,Aggravated Assault (Deadly Weapon),Driveway
511417,1/1/2017,Fam Viol - Assault (A/C) Bodily Force (H),Residence or House
513417,1/1/2017,Fam Viol-Terroristic Threat Other Means(T),Apartment
660717,1/1/2017,Investigation - Family Violence,Apartment
26362517,1/1/2017,Outside Case - Sexual Assault - Rape,Residence or House
